fever,cough,headache,fatigue,body_pain,shortness_of_breath,diarrhea,runny_nose,sore_throat,loss_of_taste_or_smell,nausea,vomiting,chest_pain,disease
"1","1","0","1","0","0","0","1","1","0","0","0","0","Flu, you should go for Flu Test, and consult a General Practitioner. Preventive measures include rest and drinking fluids."
"1","0","1","1","1","0","0","0","0","0","0","0","0","Migraine, you should consider a CT Scan or Blood Test, and consult a Neurologist. Preventive measures include regular sleep and stress management."
"0","1","1","1","0","1","0","1","1","0","0","0","0","Cold, you should have a Rapid Influenza Diagnostic Test, and consult a Primary Care Physician. Stay hydrated and rest."
"1","1","1","1","1","1","0","1","1","0","0","0","1","Pneumonia, you should get a Chest X-ray and Blood Test, and consult a Pulmonologist. Vaccination and avoiding smoke are recommended."
"0","0","1","0","1","0","0","0","0","0","0","0","0","Migraine, consider an MRI Scan or Blood Test, and see a Neurologist. Avoid triggers and ensure regular sleep."
"1","1","0","0","1","0","1","1","1","0","0","0","0","Influenza, consider a Flu Test and Chest X-ray, and see a Family Doctor. Get vaccinated and ensure adequate rest."
"0","1","1","1","0","1","0","1","1","0","0","0","0","Bronchitis, you should have a Chest X-ray and Sputum Test, and consult a Pulmonologist. Quit smoking and use a humidifier."
"1","0","0","0","1","0","0","0","1","0","0","0","1","Dengue, get a Dengue NS1 Antigen Test and see an Infectious Disease Specialist. Avoid mosquito bites."
"1","0","1","1","1","1","0","1","1","1","1","1","1","COVID-19, you should get a PCR Test and Antigen Test, and consult an Infectious Disease Specialist. Vaccination and wearing masks are recommended."
"1","0","0","1","0","1","0","1","1","0","0","0","1","Asthma, you should consider a Lung Function Test, and consult a Pulmonologist. Avoid allergens and use inhalers."
"0","0","0","1","0","0","1","0","0","0","1","1","0","Stomach Flu, you should get a Stool Test, and consult a Gastroenterologist. Stay hydrated and avoid dairy."
"1","0","0","1","1","0","0","0","0","0","0","0","0","Chickenpox, you should have a PCR Test or Blood Test, and see a Pediatrician. Vaccination is recommended."
"0","0","0","1","1","0","0","0","0","0","1","1","0","Food Poisoning, consider a Stool Culture, and consult a Gastroenterologist. Stay hydrated and rest."
"1","0","0","1","0","0","0","0","0","0","0","0","0","Malaria, you should have a Blood Test and see an Infectious Disease Specialist. Use mosquito nets."
"0","0","1","1","0","0","0","0","0","0","0","0","1","Heart Attack, you should get an ECG and Blood Test, and consult a Cardiologist. Regular checkups and a healthy diet are important."
"1","1","0","1","0","1","0","1","1","0","0","0","1","Tuberculosis, you should have a Chest X-ray and Sputum Test, and see a Pulmonologist. Vaccination and avoiding crowded places are recommended."
"1","1","0","0","1","0","0","1","1","0","0","0","0","Whooping Cough, you should get a PCR Test, and consult a Pediatrician. Vaccination is important."
"1","1","0","0","1","0","0","1","0","0","0","0","1","Lung Cancer, consider a Chest X-ray and CT Scan, and see an Oncologist. Regular checkups and avoiding smoking are essential."
"1","0","0","1","0","0","0","0","0","0","0","0","0","Typhoid Fever, you should have a Blood Culture and consult an Infectious Disease Specialist. Vaccination and hygiene are crucial."
"0","1","1","0","0","0","0","1","0","0","0","0","0","Sinus Infection, consider a Nasal Endoscopy, and see an ENT Specialist. Steam inhalation and staying hydrated are beneficial."
"0","1","1","0","1","1","1","1","1","0","1","1","1","Cholera, you should get a Stool Culture and Blood Test, and consult an Infectious Disease Specialist. Vaccination and hygiene are essential."
